Brand,Model,Screen_Tech,Screen_Size,Power_Consumption,Star_Rating
Samsung,QN65A,LCD (LED),65,210,4.5
Samsung,QN55A,LCD (LED),55,160,5.0
Samsung,QN43A,LCD (LED),43,110,5.5
LG,OLED65,OLED,65,195,5.0
LG,OLED55,OLED,55,145,5.5
LG,LED55,LCD (LED),55,158,5.0
Hisense,65A7,LCD (LED),65,200,4.5
Hisense,55A7,LCD (LED),55,152,5.0
Sony,XR65X9,LCD (LED),65,212,4.5
Sony,A95K55,OLED,55,148,5.5
TCL,65C7,LCD (LED),65,196,4.5
TCL,55C7,LCD (LED),55,148,5.0
Panasonic,TH65,LCD (LED),65,205,4.5
Panasonic,HZ2000,OLED,65,196,5.0
Philips,65PUS,LCD (LED),65,205,4.5
