Brand,Model,Screen_Tech,Screen_Size,Power_Consumption,Star_Rating
Samsung,QN85A,LCD (LED),85,320,3.5
Samsung,QN75A,LCD (LED),75,260,4.0
Samsung,QN65A,LCD (LED),65,210,4.5
Samsung,QN55A,LCD (LED),55,160,5.0
Samsung,QN50A,LCD (LED),50,140,5.0
Samsung,QN43A,LCD (LED),43,110,5.5
Samsung,QN32A,LCD (LED),32,75,6.0
Samsung,Q80A,OLED,65,200,4.5
Samsung,Q70A,LCD (LED),55,155,5.0
Samsung,Q60A,LCD (LED),50,135,5.0
Samsung,Q50A,LCD (LED),43,105,5.5
Samsung,Q40A,LCD (LED),32,70,6.0
Samsung,UN85J,LCD (LED),85,330,3.5
Samsung,UN75J,LCD (LED),75,265,3.5
Samsung,UN65J,LCD (LED),65,215,4.0
Samsung,UN55J,LCD (LED),55,165,4.5
Samsung,UN50J,LCD (LED),50,145,5.0
Samsung,UN43J,LCD (LED),43,115,5.0
Samsung,UN32J,LCD (LED),32,80,5.5
Samsung,TU85,LCD (LED),85,310,3.5
Samsung,TU75,LCD (LED),75,255,4.0
Samsung,TU65,LCD (LED),65,205,4.5
Samsung,TU55,LCD (LED),55,155,5.0
Samsung,TU50,LCD (LED),50,135,5.0
Samsung,TU43,LCD (LED),43,108,5.5
LG,OLED83,OLED,83,290,4.0
LG,OLED77,OLED,77,245,4.5
LG,OLED65,OLED,65,195,5.0
LG,OLED55,OLED,55,145,5.5
LG,OLED48,OLED,48,120,6.0
LG,OLED42,OLED,42,100,6.0
LG,LED86,LCD (LED),86,325,3.5
LG,LED75,LCD (LED),75,258,4.0
LG,LED65,LCD (LED),65,208,4.5
LG,LED55,LCD (LED),55,158,5.0
LG,LED50,LCD (LED),50,138,5.0
LG,LED43,LCD (LED),43,108,5.5
LG,LED32,LCD (LED),32,72,6.0
LG,NANO86,LCD (LED),86,318,3.5
LG,NANO75,LCD (LED),75,252,4.0
LG,NANO65,LCD (LED),65,202,4.5
LG,NANO55,LCD (LED),55,152,5.0
LG,NANO50,LCD (LED),50,132,5.0
LG,NANO43,LCD (LED),43,102,5.5
LG,32LQ,LCD,32,68,5.5
LG,28LQ,LCD,28,52,6.0
LG,24LQ,LCD,24,42,6.0
Hisense,85A7,LCD (LED),85,315,3.5
Hisense,75A7,LCD (LED),75,255,4.0
Hisense,65A7,LCD (LED),65,200,4.5
Hisense,55A7,LCD (LED),55,152,5.0
Hisense,50A7,LCD (LED),50,130,5.0
Hisense,43A7,LCD (LED),43,105,5.5
Hisense,32A7,LCD (LED),32,68,5.5
Hisense,85U7,LCD (LED),85,305,3.5
Hisense,75U7,LCD (LED),75,248,4.0
Hisense,65U7,LCD (LED),65,195,4.5
Hisense,55U7,LCD (LED),55,148,5.0
Hisense,50U7,LCD (LED),50,128,5.0
Hisense,43U7,LCD (LED),43,102,5.5
Hisense,85A6,LCD (LED),85,320,3.0
Hisense,75A6,LCD (LED),75,260,3.5
Hisense,65A6,LCD (LED),65,205,4.0
Hisense,55A6,LCD (LED),55,155,4.5
Hisense,50A6,LCD (LED),50,133,5.0
Hisense,43A6,LCD (LED),43,107,5.5
Hisense,32A6,LCD (LED),32,70,5.5
Sony,XR85X9,LCD (LED),85,322,3.5
Sony,XR75X9,LCD (LED),75,262,4.0
Sony,XR65X9,LCD (LED),65,212,4.5
Sony,XR55X9,LCD (LED),55,162,5.0
Sony,XR48X9,LCD (LED),48,125,5.0
Sony,A95K65,OLED,65,198,5.0
Sony,A95K55,OLED,55,148,5.5
Sony,A80K65,OLED,65,192,5.0
Sony,A80K55,OLED,55,142,5.5
Sony,A80K48,OLED,48,115,6.0
Sony,XR85X8,LCD (LED),85,318,3.5
Sony,XR75X8,LCD (LED),75,258,4.0
Sony,XR65X8,LCD (LED),65,208,4.5
Sony,XR55X8,LCD (LED),55,158,5.0
Sony,X90K85,LCD (LED),85,312,3.5
Sony,X90K75,LCD (LED),75,252,4.0
Sony,X90K65,LCD (LED),65,202,4.5
Sony,X90K55,LCD (LED),55,152,5.0
TCL,85C7,LCD (LED),85,308,3.5
TCL,75C7,LCD (LED),75,248,4.0
TCL,65C7,LCD (LED),65,196,4.5
TCL,55C7,LCD (LED),55,148,5.0
TCL,50C7,LCD (LED),50,126,5.0
TCL,43C7,LCD (LED),43,100,5.5
TCL,32C7,LCD (LED),32,66,5.5
TCL,85P7,LCD (LED),85,312,3.5
TCL,75P7,LCD (LED),75,252,4.0
TCL,65P7,LCD (LED),65,200,4.5
TCL,55P7,LCD (LED),55,150,5.0
TCL,50P7,LCD (LED),50,128,5.0
TCL,43P7,LCD (LED),43,102,5.5
TCL,32P7,LCD (LED),32,67,5.5
Panasonic,TH85,LCD (LED),85,318,3.5
Panasonic,TH75,LCD (LED),75,255,4.0
Panasonic,TH65,LCD (LED),65,205,4.5
Panasonic,TH55,LCD (LED),55,155,5.0
Panasonic,TH50,LCD (LED),50,132,5.0
Panasonic,TH43,LCD (LED),43,105,5.5
Panasonic,TH32,LCD (LED),32,69,5.5
Panasonic,HZ2000,OLED,65,196,5.0
Panasonic,HZ1500,OLED,55,146,5.5
Panasonic,JZ2000,OLED,65,192,5.0
Panasonic,JZ1500,OLED,55,142,5.5
Philips,86PUS,LCD (LED),86,320,3.5
Philips,75PUS,LCD (LED),75,258,4.0
Philips,65PUS,LCD (LED),65,205,4.5
Philips,55PUS,LCD (LED),55,155,5.0
Philips,50PUS,LCD (LED),50,132,5.0
Philips,43PUS,LCD (LED),43,105,5.5
Philips,32PFS,LCD,32,65,5.5
Philips,24PFS,LCD,24,40,6.0
Kogan,86LED,LCD (LED),86,325,3.0
Kogan,75LED,LCD (LED),75,262,3.5
Kogan,65LED,LCD (LED),65,210,4.0
Kogan,55LED,LCD (LED),55,160,4.5
Kogan,50LED,LCD (LED),50,138,4.5
Kogan,43LED,LCD (LED),43,110,5.0
Kogan,32LED,LCD (LED),32,72,5.5
Kogan,24LED,LCD,24,44,5.5
Kogan,22LED,LCD,22,38,5.5
Aldi,50SMART,LCD (LED),50,135,4.5
Aldi,43SMART,LCD (LED),43,108,5.0
Aldi,32SMART,LCD (LED),32,70,5.5
Aldi,24SMART,LCD,24,42,5.5
Sharp,70LC,LCD (LED),70,238,4.0
Sharp,60LC,LCD (LED),60,188,4.5
Sharp,55LC,LCD (LED),55,153,5.0
Sharp,50LC,LCD (LED),50,130,5.0
Sharp,43LC,LCD (LED),43,103,5.5
Sharp,32LC,LCD,32,66,5.5
Sharp,24LC,LCD,24,41,6.0
Grundig,55GFU,LCD (LED),55,158,4.5
Grundig,43GFU,LCD (LED),43,108,5.0
Grundig,32GFU,LCD,32,67,5.5
